rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.9,0,6,5,rel,0.906,0.907,0.19225171571446126,0.1923649287883447,0.09399999999999997,0.09299999999999997,-0.06637541180832274,-0.06582561952642008,-0.00343992038052209,-0.00343992038052209,0.20584548101925423,0.20584548101925423,-0.016705152600287126,-0.016705152600287126,0.094,0.093,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.9
0.9,0,6,5,tspa,0.904,0.906,0.1916739514507945,0.191865946613952,0.09599999999999997,0.09399999999999997,-0.06933483320038958,-0.06840260840305923,-0.003436684763319183,-0.003436684763319183,0.2058794013155808,0.2058794013155808,-0.016686684728327336,-0.016686684728327336,0.096,0.094,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.9
0.9,0,6,10,gsam,0.029,NA,0.11926402803307933,NA,0.971,NA,-0.2163509432973728,NA,0.6935524440764397,NA,0.7100378951161879,NA,4.55713032284602,NA,0.971,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.9
0.9,0,6,10,joint,0.012,NA,0.07050813280565024,NA,0.988,NA,-0.536794554345288,NA,0.6936355176441846,NA,0.7101248708067122,NA,4.55686083700353,NA,0.988,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.9
0.9,0,6,10,lsam,0.029,NA,0.1192640272291177,NA,0.971,NA,-0.21635096888195415,NA,0.6935524446091288,NA,0.7100378964807698,NA,4.557130208284655,NA,0.971,NA,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.9
0.9,0,6,10,rel,0.926,0.927,0.13775906615460895,0.1377720948339252,0.07399999999999995,0.07299999999999995,-0.038221405305361666,-0.03813044428745349,0.0026260497332490206,0.0026260497332490206,0.1431861061554623,0.1431861061554623,0.018334026881453074,0.018334026881453074,0.074,0.073,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.9
0.9,0,6,10,tspa,0.926,0.926,0.1375595159452588,0.13757507881439626,0.07399999999999995,0.07399999999999995,-0.039614592511807656,-0.039505938796973394,0.0026260489586620106,0.0026260489586620106,0.1431861072757619,0.1431861072757619,0.018334021328282258,0.018334021328282258,0.074,0.074,60,italic(N) == 60,\beta_{xm} == 0,rho == 0.9
0.9,0,6,20,gsam,0.048,NA,0.1272115754954319,NA,0.952,NA,-0.19448456839966521,NA,0.49940987799531555,NA,0.5237612121755093,NA,3.162309419187351,NA,0.952,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.9
0.9,0,6,20,joint,0.026,NA,0.06936710182861945,NA,0.974,NA,-0.5608972604910885,NA,0.49963130212280416,NA,0.5239870917174364,NA,3.1627308583333713,NA,0.974,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.9
0.9,0,6,20,lsam,0.048,NA,0.12721157496980595,NA,0.952,NA,-0.19448457942472297,NA,0.49940987668225845,NA,0.5237612113780392,NA,3.162309380656906,NA,0.952,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.9
0.9,0,6,20,rel,0.952,0.952,0.09669915050529626,0.09670132887213234,0.04800000000000004,0.04800000000000004,0.052176762956857914,0.05220046561561076,-0.004481991179242287,-0.004481991179242287,0.09196721801616849,0.09196721801616849,-0.048768235769744955,-0.048768235769744955,0.048,0.048,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.9
0.9,0,6,20,tspa,0.952,0.952,0.09665205392355714,0.09665433779349022,0.04800000000000004,0.04800000000000004,0.05166430078326756,0.05168915141373809,-0.004481991220324019,-0.004481991220324019,0.0919672186749071,0.0919672186749071,-0.048768235867670096,-0.048768235867670096,0.048,0.048,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.9
0.9,0,25,5,gsam,0,NA,0.05701361327793181,NA,1,NA,-0.5438552927600556,NA,0.7605943995263245,NA,0.7707858103579811,NA,6.085232802365933,NA,1,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.9
